ID,Ungrammatical,Grammatical
1,记者 采访 了 。,记者 采访 了 科学家 。
2,他 拿出 了 。,他 拿出 了 篮子 。
3,他 认识 了 。,他 认识 了 老师 。
4,他 拍 下 了 。,他 拍 下 了 艺术品 。
5,我们 参加 了 。,我们 参加 了 活动 。
6,他 想起 了 。,他 想起 了 同学 。
7,司机 启动 了 。,司机 启动 了 车 。
8,爸爸 买 了 。,爸爸 买 了 房子 。
9,他 损失 了 。,他 损失 了 现金 。
10,我 拜访 了 。,我 拜访 了 邻居 。
11,爷爷 中止 了 。,爷爷 中止 了 谈话 。
12,她 提到 了 。,她 提到 了 女儿 。
13,学生 们 写 着 。,学生 们 写 着 作业 。
14,医生 表扬 着 。,医生 表扬 着 孩子 。
15,她 介绍 着 。,她 介绍 着 工厂 。
16,我 洗 着 。,我 洗 着 衣服 。
17,店长 拿 着 。,店长 拿 着 钥匙 。
18,有人 听 着 。,有人 听 着 音乐 。
19,我 观察 着 。,我 观察 着 街道 。
20,学生 们 读 着 。,学生 们 读 着 书 。
21,他 放 着 。,他 放 着 风筝 。
22,老师 创办 过 。,老师 创办 过 学校 。
23,我 喜欢 过 。,我 喜欢 过 音乐 。
24,她 开 过 。,她 开 过 车 。
25,他 修理 过 。,他 修理 过 电脑 。
26,他 讲 过 。,他 讲 过 课 。
27,我 邀请 过 。,我 邀请 过 朋友 。
28,她 申请 过 。,她 申请 过 奖金 。
29,她 去 买 。,她 去 买 礼物 。
30,这 是 。,这 是 玩具 。
31,弟弟 需要 。,弟弟 需要 钱 。
32,他 很 欣赏 。,他 很 欣赏 作家 。
33,那里 有 。,那里 有 表演 。
34,我 经常 去 。,我 经常 去 医院 。
